id,long,lat,date,studentId
1,126.9524165,37.4487889,2020-05-11 15:21::15,student5tKQPI
2,126.9524401,37.44878787,2020-05-11 15:30::38,studentulcCxm
3,126.9523768,37.4487833,2020-05-11 16:00::26,students3rT03
4,126.9523966,37.44879394,2020-05-11 16:11::14,studentRr4Kvt
5,126.952425,37.44879448,2020-05-11 17:00::11,student7JjoRk
6,126.952342,37.4487468,2020-05-11 17:01::51,studentlN4VLr
7,126.9524815,37.44882381,2020-05-11 17:07::11,studentPdc6Mx
8,126.952393,37.44874781,2020-05-11 17:09::33,studentTTtDsO
9,126.9524367,37.44878772,2020-05-11 18:23::15,studentc8a8g6
10,126.9524893,37.44877689,2020-05-11 18:28::02,studentur9WmC
11,126.9524206,37.44879691,2020-05-11 18:31::37,studentl8KchQ
